ph5_time=8.982983112335205, ph6_time=6.753999948501587
ph5_time=8.972999572753906, ph6_time=6.770017385482788
ph5_time=9.082999467849731, ph6_time=6.780000448226929
ph5_time=8.983003854751587, ph6_time=6.803986072540283
ph5_time=8.950999736785889, ph6_time=6.774991512298584
ph5_time=9.048999786376953, ph6_time=6.758018970489502
ph5_time=8.957980155944824, ph6_time=6.809000015258789
ph5_time=9.005980253219604, ph6_time=6.826020002365112
ph5_time=8.964999675750732, ph6_time=6.782019376754761
ph5_time=9.005000114440918, ph6_time=6.837000131607056
ph5_time=8.998000621795654, ph6_time=6.813980579376221
ph5_time=8.979989528656006, ph6_time=6.802018880844116
ph5_time=9.009989738464355, ph6_time=6.879010200500488
ph5_time=8.954000234603882, ph6_time=6.896010637283325
ph5_time=9.033981323242188, ph6_time=6.79699969291687
ph5_time=8.967990159988403, ph6_time=6.789018630981445
ph5_time=9.04800009727478, ph6_time=6.75400972366333
ph5_time=8.951017618179321, ph6_time=6.815982341766357
ph5_time=9.088000297546387, ph6_time=6.79200005531311
ph5_time=8.98099970817566, ph6_time=6.828999757766724
ph5_time=8.913999557495117, ph6_time=6.8170006275177
ph5_time=9.046000242233276, ph6_time=6.854989528656006
ph5_time=9.015018463134766, ph6_time=6.828981399536133
ph5_time=9.08899974822998, ph6_time=6.8420000076293945
ph5_time=8.991018295288086, ph6_time=6.855981826782227
ph5_time=9.051995277404785, ph6_time=6.822005748748779
ph5_time=8.966999769210815, ph6_time=6.911999225616455
ph5_time=8.986999273300171, ph6_time=6.768001079559326
ph5_time=8.984010219573975, ph6_time=6.710989475250244
ph5_time=9.047979831695557, ph6_time=6.7809998989105225
ph5_time=8.980000019073486, ph6_time=6.853020429611206
ph5_time=8.968020677566528, ph6_time=6.775979280471802
ph5_time=9.11501955986023, ph6_time=6.856980562210083
ph5_time=9.062999486923218, ph6_time=6.784999847412109
ph5_time=8.971999645233154, ph6_time=6.762000560760498
ph5_time=9.006020784378052, ph6_time=6.824979543685913
ph5_time=9.145013809204102, ph6_time=6.771986484527588
ph5_time=9.189000606536865, ph6_time=6.74199914932251
ph5_time=9.192018747329712, ph6_time=6.863981008529663
ph5_time=9.028990507125854, ph6_time=6.810009241104126
ph5_time=9.035000085830688, ph6_time=6.8500001430511475
ph5_time=9.015999555587769, ph6_time=6.7900004386901855
ph5_time=9.24697995185852, ph6_time=6.9059998989105225
ph5_time=8.989019393920898, ph6_time=6.857000827789307
ph5_time=9.221986055374146, ph6_time=6.817999839782715
ph5_time=9.161999702453613, ph6_time=6.893014192581177
ph5_time=10.139402866363525, ph6_time=6.907982587814331
ph5_time=9.87299919128418, ph6_time=7.448846817016602
ph5_time=9.129986047744751, ph6_time=6.968017816543579
ph5_time=9.430995225906372, ph6_time=7.138004779815674
ph5_time=9.210007429122925, ph6_time=7.1970109939575195
ph5_time=9.118010520935059, ph6_time=6.937989950180054
ph5_time=9.217999696731567, ph6_time=7.150979995727539
ph5_time=9.494369506835938, ph6_time=7.935221433639526
ph5_time=9.107019662857056, ph6_time=6.991292476654053
ph5_time=9.122999906539917, ph6_time=6.869999885559082
ph5_time=9.1419997215271, ph6_time=6.828989744186401
ph5_time=9.095985889434814, ph6_time=6.793999910354614
ph5_time=9.275000095367432, ph6_time=6.961994409561157
ph5_time=9.227998971939087, ph6_time=7.0320210456848145
ph5_time=9.329980850219727, ph6_time=7.043999671936035
ph5_time=9.355000019073486, ph6_time=6.996000528335571
ph5_time=9.332993507385254, ph6_time=6.977006673812866
ph5_time=9.472006797790527, ph6_time=7.027003526687622
ph5_time=9.658999919891357, ph6_time=7.395998001098633
ph5_time=9.403527736663818, ph6_time=7.254992961883545
ph5_time=9.294248104095459, ph6_time=7.0426576137542725
ph5_time=9.175986528396606, ph6_time=6.928008556365967
ph5_time=9.220984697341919, ph6_time=6.978018283843994
ph5_time=9.164007663726807, ph6_time=6.973998069763184
ph5_time=9.632005214691162, ph6_time=7.021995782852173
ph5_time=9.460999250411987, ph6_time=7.1289942264556885
ph5_time=9.45298957824707, ph6_time=7.134015321731567
ph5_time=9.255019664764404, ph6_time=6.963991165161133
ph5_time=9.28099775314331, ph6_time=7.117982625961304
ph5_time=9.530999660491943, ph6_time=7.1160197257995605
ph5_time=9.075982570648193, ph6_time=6.929999589920044
ph5_time=9.523000001907349, ph6_time=6.997007608413696
ph5_time=9.22698187828064, ph6_time=7.064010381698608
ph5_time=9.095980644226074, ph6_time=6.989018440246582
ph5_time=9.264986753463745, ph6_time=6.898020505905151
ph5_time=9.463014841079712, ph6_time=7.089996814727783
ph5_time=9.224989652633667, ph6_time=7.028990983963013
ph5_time=9.213998079299927, ph6_time=6.972009181976318
ph5_time=10.034194469451904, ph6_time=7.050000190734863
ph5_time=9.79110312461853, ph6_time=7.115191698074341
ph5_time=9.990960597991943, ph6_time=7.401220798492432
ph5_time=9.228997230529785, ph6_time=7.175711393356323
ph5_time=9.124000072479248, ph6_time=6.87701940536499
ph5_time=9.116984128952026, ph6_time=6.991999387741089
ph5_time=9.025989532470703, ph6_time=6.805016040802002
ph5_time=8.991010189056396, ph6_time=6.830000162124634
ph5_time=9.194989204406738, ph6_time=6.8580005168914795
ph5_time=9.09998106956482, ph6_time=6.819010496139526
ph5_time=9.116992950439453, ph6_time=6.928008794784546
ph5_time=9.115000486373901, ph6_time=6.881017684936523
ph5_time=9.092018127441406, ph6_time=6.902980804443359
ph5_time=9.103986740112305, ph6_time=6.869999885559082
ph5_time=9.03398323059082, ph6_time=6.930013179779053
ph5_time=9.076000213623047, ph6_time=6.817016839981079
ph5_time=9.032000303268433, ph6_time=6.894000291824341
ph5_time=9.056999921798706, ph6_time=6.8369996547698975
ph5_time=9.079999208450317, ph6_time=6.8030006885528564
ph5_time=9.03398084640503, ph6_time=6.757000207901001
ph5_time=9.186996221542358, ph6_time=6.931002140045166
ph5_time=9.072989463806152, ph6_time=6.8420188426971436
ph5_time=9.073979377746582, ph6_time=6.8150105476379395
ph5_time=9.027000188827515, ph6_time=6.841020584106445
ph5_time=8.98800015449524, ph6_time=6.826999664306641
ph5_time=9.015014171600342, ph6_time=6.868985891342163
ph5_time=9.093989372253418, ph6_time=6.825999975204468
ph5_time=9.04200005531311, ph6_time=6.845010757446289
ph5_time=9.107019424438477, ph6_time=6.823980093002319
